code_machine,nom,famille_entree1/id,famille_sortie1/id,famille_entree2/id,famille_entree3/id,famille_entree4/id,famille_sortie2/id,annee_debut_production
CS01,Cisaille,production.production_famille_treillis_soudes,production.production_famille_treillis_soudes,production.production_famille_treillis_soudes,production.production_famille_treillis_soudes,production.production_famille_treillis_soudes,production.production_famille_treillis_soudes,1994
DC01,Dresseuse coupeuse Eurobend,production.production_famille_fil_trefile,production.production_famille_barres_dressees_coupees,production.production_famille_fil_crante,production.production_famille_fil_machine,production.production_famille_fil_trefile,production.production_famille_barres_dressees_coupees,1999
DC02,Dresseuse Coupeuse ACIA SUD,production.production_famille_fil_trefile,production.production_famille_barres_dressees_coupees,production.production_famille_fil_crante,production.production_famille_fil_machine,production.production_famille_fil_trefile,production.production_famille_barres_dressees_coupees,2000
DC03,Dresseuse Coupeuse ACIA SUD 3,production.production_famille_fil_trefile,production.production_famille_barres_dressees_coupees,production.production_famille_fil_crante,production.production_famille_fil_machine,production.production_famille_fil_trefile,production.production_famille_barres_dressees_coupees,2004
DC04,Dresseuse Coupeuse ACIA SUD 4,production.production_famille_fil_trefile,production.production_famille_barres_dressees_coupees,production.production_famille_fil_crante,production.production_famille_fil_machine,production.production_famille_fil_trefile,production.production_famille_barres_dressees_coupees,2008
DC06,Dresseuse Coupeuse Ravni MD50-1,production.production_famille_fil_trefile,production.production_famille_barres_dressees_coupees,production.production_famille_fil_crante,production.production_famille_fil_machine,production.production_famille_fil_trefile,production.production_famille_barres_dressees_coupees,2009
DC07,Dresseuse Coupeuse Ravni MD50X-1,production.production_famille_fil_trefile,production.production_famille_barres_dressees_coupees,production.production_famille_fil_crante,production.production_famille_fil_machine,production.production_famille_fil_galvanise,production.production_famille_barres_dressees_coupees,2009
MB02,Monobloc,production.production_famille_fil_machine,production.production_famille_fil_trefile,production.production_famille_fil_trefile,production.production_famille_fil_machine,production.production_famille_fil_trefile,production.production_famille_fil_crante,1990
MB05,Monobloc Teureuma,production.production_famille_fil_trefile,production.production_famille_fil_trefile,production.production_famille_fil_machine,production.production_famille_fil_trefile,production.production_famille_fil_machine,production.production_famille_fil_crante,2007
ST01,Soudeuse treillis Eurobend,production.production_famille_fil_trefile,production.production_famille_treillis_soudes,production.production_famille_fil_crante,production.production_famille_fil_galvanise,production.production_famille_barres_dressees_coupees,production.production_famille_treillis_soudes,1999
ST02,Soudeuse treillis soudés Eurobend2,production.production_famille_fil_trefile,production.production_famille_treillis_soudes,production.production_famille_fil_crante,production.production_famille_barres_dressees_coupees,production.production_famille_fil_trefile,production.production_famille_treillis_soudes,2002
ST03,Soudeuse treillis soudés ACIA SUD 1,production.production_famille_fil_trefile,production.production_famille_treillis_soudes,production.production_famille_fil_crante,production.production_famille_barres_dressees_coupees,production.production_famille_fil_trefile,production.production_famille_treillis_soudes,2007
ST04,Soudeuse treillis soudés ACIA SUD 2,production.production_famille_barres_dressees_coupees,production.production_famille_treillis_soudes,production.production_famille_barres_dressees_coupees,production.production_famille_barres_dressees_coupees,production.production_famille_barres_dressees_coupees,production.production_famille_treillis_soudes,2009
TR01,Tréfileuse,production.production_famille_fil_machine,production.production_famille_fil_trefile,production.production_famille_fil_trefile,production.production_famille_fil_trefile,production.production_famille_fil_machine,production.production_famille_fil_trefile,1994
TR03,Tréfileuse,production.production_famille_fil_machine,production.production_famille_fil_trefile,production.production_famille_fil_trefile,production.production_famille_fil_machine,production.production_famille_fil_trefile,production.production_famille_fil_trefile,1990
SP1,SPIRALEUSE,production.production_famille_fil_crante,production.production_famille_spirale,production.production_famille_barres_dressees_coupees,production.production_famille_fil_trefile,production.production_famille_barres_dressees_coupees,production.production_famille_spirale,2010
TR04,Tréfileuse 4 passes MFL,production.production_famille_fil_machine,production.production_famille_fil_trefile,production.production_famille_fil_trefile,production.production_famille_fil_trefile,production.production_famille_fil_trefile,production.production_famille_fil_trefile,2010
CD01,Cadreuse,production.production_famille_fil_trefile,production.production_famille_spirale,production.production_famille_fil_crante,production.production_famille_fil_machine,production.production_famille_fil_machine,production.production_famille_cadre,2009
ST05,Soudeuse treillis soudés MEP MRSA24,production.production_famille_fil_trefile,production.production_famille_treillis_soudes,production.production_famille_fil_crante,production.production_famille_barres_dressees_coupees,production.production_famille_barres_dressees_coupees,production.production_famille_treillis_soudes,2012
ST06,Soudeuse treillis soudés CEA,production.production_famille_barres_dressees_coupees,production.production_famille_treillis_soudes,production.production_famille_barres_dressees_coupees,production.production_famille_treillis_soudes,production.production_famille_treillis_soudes,production.production_famille_treillis_soudes,2008
ST07,Soudeuse treillis soudés FROMA,production.production_famille_barres_dressees_coupees,production.production_famille_treillis_soudes,production.production_famille_barres_dressees_coupees,production.production_famille_barres_dressees_coupees,production.production_famille_barres_dressees_coupees,production.production_famille_treillis_soudes,2012
CD02,Cadreuse Schnell smart13,production.production_famille_fil_trefile,production.production_famille_cadre,production.production_famille_fil_crante,production.production_famille_fil_machine,production.production_famille_fil_machine,production.production_famille_etrier,2012
DC08,Dresseuse Coupeuse Schnell Reta13,production.production_famille_fil_trefile,production.production_famille_barres_dressees_coupees,production.production_famille_fil_crante,production.production_famille_fil_machine,production.production_famille_fil_crante,production.production_famille_barres_dressees_coupees,2012
DC09,Dresseuse Coupeuse Ravni MD20cx,production.production_famille_fil_trefile,production.production_famille_barres_dressees_coupees,production.production_famille_fil_crante,production.production_famille_fil_machine,production.production_famille_fil_galvanise,production.production_famille_barres_dressees_coupees,2012
PT01,Plieuse Treillis 01,production.production_famille_treillis_soudes,production.production_famille_treillis_soudes,production.production_famille_treillis_soudes,production.production_famille_treillis_soudes,production.production_famille_treillis_soudes,production.production_famille_treillis_soudes,2012
ST08,Sclatter PG12,production.production_famille_barres_dressees_coupees,production.production_famille_treillis_soudes,production.production_famille_fil_trefile,production.production_famille_fil_crante,production.production_famille_barres_dressees_coupees,production.production_famille_treillis_soudes,2013
MP01,Machine poutrelle,production.production_famille_fil_crante,production.production_famille_poutrelle,production.production_famille_fil_trefile,production.production_famille_fil_crante,production.production_famille_treillis_soudes,production.production_famille_poutrelle,2013
PL01,Poutrelle,production.production_famille_fil_crante,production.production_famille_poutrelle,production.production_famille_fil_crante,production.production_famille_fil_trefile,production.production_famille_fil_trefile,production.production_famille_poutrelle,2013
